iso3,country,years,positive_issuance_years,cumulative_issuance_billion_usd,fossil_contraction_rate,renewable_addition_rate,coal_contraction_rate,unoffset_coal_contraction_rate
ARG,Argentina,19,6,3.02360289,0.3684210526315789,0.5789473684210527,0.631578947368421,0.21052631578947367
AUS,Australia,19,11,40.358334144,0.5789473684210527,0.7368421052631579,0.7894736842105263,0.21052631578947367
BRA,Brazil,19,10,14.26667629,0.5263157894736842,0.6842105263157895,0.47368421052631576,0.42105263157894735
CAN,Canada,19,11,83.86467261,0.631578947368421,0.5263157894736842,0.7368421052631579,0.15789473684210525
CHN,China,19,11,471.091599263,0.05263157894736842,0.9473684210526315,0.05263157894736842,0.0
DEU,Germany,19,13,377.491961581,0.5789473684210527,0.9473684210526315,0.631578947368421,0.2631578947368421
FRA,France,19,13,295.169397417,0.5263157894736842,0.5789473684210527,0.631578947368421,0.42105263157894735
GBR,United Kingdom,19,15,162.397728043,0.6842105263157895,0.8947368421052632,0.7368421052631579,0.42105263157894735
IDN,Indonesia,19,7,23.936210403,0.05263157894736842,0.6842105263157895,0.05263157894736842,0.0
IND,India,19,9,27.507280608000002,0.10526315789473684,0.7894736842105263,0.10526315789473684,0.05263157894736842
ITA,Italy,19,10,113.183183757,0.5263157894736842,0.6842105263157895,0.7368421052631579,0.42105263157894735
JPN,Japan,19,11,120.449208317,0.631578947368421,0.7368421052631579,0.5263157894736842,0.42105263157894735
KOR,South Korea,19,10,84.629089514,0.3684210526315789,0.8947368421052632,0.3684210526315789,0.15789473684210525
MEX,Mexico,19,10,21.73788363,0.3157894736842105,0.631578947368421,0.5263157894736842,0.10526315789473684
RUS,Russia,19,5,3.4800696159999998,0.2631578947368421,0.6842105263157895,0.3684210526315789,0.21052631578947367
SAU,Saudi Arabia,19,2,3.0,0.10526315789473684,0.631578947368421,,
TUR,Turkey,19,6,6.235507697999999,0.42105263157894735,0.631578947368421,0.3157894736842105,0.15789473684210525
USA,United States,19,17,277.693098196,0.631578947368421,0.8947368421052632,0.7368421052631579,0.10526315789473684
ZAF,South Africa,19,9,2.604498193,0.6842105263157895,0.7894736842105263,0.631578947368421,0.21052631578947367
