specification,outcome,outcome_label,exposure,n,clusters,coefficient,standard_error_crv3,t_value,df,p_value_t_g_minus_1,ci_low,ci_high,outcome_mean,exposure_mean,wild_bootstrap_type,wild_weights,wild_reps,wild_p_value,excluded_country
Exclude ARG,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0014829786188516733,0.0009697867830818417,-1.5291800679516196,17,0.14461349258820036,-0.0035290498809746017,0.0005630926432712551,0.4269005847953216,15.97325029709611,,,,,ARG
Exclude AUS,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.001356777061985857,0.0009830290053579839,-1.3802004361934035,17,0.1854063410853229,-0.003430786970952121,0.0007172328469804072,0.4152046783625731,15.39311136817251,,,,,AUS
Exclude BRA,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0016695507640426845,0.0009954599152658407,-1.6771652363288034,17,0.11179961280221427,-0.0037697876003791875,0.0004306860722938187,0.41812865497076024,15.915132916419116,,,,,BRA
Exclude CAN,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0015326901320273827,0.0009565237694377661,-1.6023544641533378,17,0.12749406020360268,-0.0035507788813550246,0.00048539861730025925,0.41228070175438597,14.89656187451287,,,,,CAN
Exclude CHN,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0015316669956352152,0.0009730210090757978,-1.5741355853046122,17,0.13388161736945603,-0.003584561878142425,0.0005212278868719949,0.4444444444444444,15.292356658185149,,,,,CHN
Exclude DEU,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0017093977951024612,0.0011283984063855858,-1.5148885229091165,17,0.1481723247353782,-0.004090110330897058,0.000671314740692136,0.4152046783625731,13.547516398114523,,,,,DEU
Exclude FRA,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0009844281302531176,0.0009771453127670328,-1.0074531570595797,17,0.3278424514621943,-0.003046024532935811,0.0010771682724295757,0.41812865497076024,13.062868780461828,,,,,FRA
Exclude GBR,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0014576646987304435,0.0012938415369316066,-1.1266176398907006,17,0.2755567543875715,-0.004187431728596546,0.0012721023311356593,0.4093567251461988,14.63896637890502,,,,,GBR
Exclude IDN,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0015399382668588972,0.0009673419285837723,-1.5919275504923363,17,0.12982356365958894,-0.003580851336876263,0.0005009748031584685,0.4444444444444444,15.57648964814223,,,,,IDN
Exclude IND,fossil_contraction,Fossil contraction,issuance_bp_gdp,342,18,-0.0015604660490328142,0.0009638584189615767,-1.618978491378432,17,0.12385336732313365,-0.003594029556183739,0.00047309745811811073,0.4415204678362573,15.880879052332602,,,,,IND
